face_id,frame_id,is_speaking,video_id,chunk_id
0,0,True,4,37
1,0,True,4,37
2,0,False,4,37
3,0,False,4,37
4,0,False,4,37
6,0,True,4,37
5,0,False,4,37
0,1,True,4,37
1,1,True,4,37
2,1,False,4,37
3,1,False,4,37
4,1,False,4,37
6,1,True,4,37
5,1,False,4,37
0,2,True,4,37
1,2,True,4,37
2,2,False,4,37
3,2,False,4,37
4,2,False,4,37
6,2,True,4,37
5,2,False,4,37
0,3,True,4,37
1,3,True,4,37
2,3,False,4,37
3,3,False,4,37
4,3,False,4,37
6,3,True,4,37
5,3,False,4,37
0,4,True,4,37
1,4,True,4,37
2,4,False,4,37
3,4,False,4,37
4,4,False,4,37
6,4,True,4,37
5,4,False,4,37
0,5,True,4,37
1,5,True,4,37
2,5,False,4,37
3,5,False,4,37
4,5,False,4,37
6,5,True,4,37
5,5,False,4,37
0,6,True,4,37
1,6,True,4,37
2,6,False,4,37
3,6,False,4,37
4,6,False,4,37
6,6,True,4,37
5,6,False,4,37
0,7,True,4,37
1,7,True,4,37
2,7,False,4,37
3,7,False,4,37
4,7,False,4,37
6,7,True,4,37
5,7,False,4,37
0,8,True,4,37
1,8,True,4,37
2,8,False,4,37
3,8,False,4,37
4,8,False,4,37
6,8,True,4,37
5,8,False,4,37
0,9,True,4,37
1,9,True,4,37
2,9,False,4,37
3,9,False,4,37
4,9,False,4,37
6,9,True,4,37
5,9,False,4,37
0,10,True,4,37
1,10,True,4,37
2,10,False,4,37
3,10,True,4,37
4,10,False,4,37
6,10,True,4,37
5,10,False,4,37
0,11,True,4,37
1,11,True,4,37
2,11,False,4,37
3,11,True,4,37
4,11,False,4,37
6,11,True,4,37
5,11,False,4,37
0,12,True,4,37
1,12,True,4,37
2,12,False,4,37
3,12,True,4,37
4,12,False,4,37
6,12,False,4,37
5,12,False,4,37
0,13,True,4,37
1,13,True,4,37
2,13,False,4,37
3,13,False,4,37
4,13,False,4,37
6,13,False,4,37
5,13,False,4,37
0,14,True,4,37
1,14,True,4,37
2,14,False,4,37
3,14,False,4,37
4,14,False,4,37
6,14,False,4,37
5,14,False,4,37
0,15,True,4,37
1,15,True,4,37
2,15,False,4,37
3,15,False,4,37
4,15,False,4,37
6,15,False,4,37
5,15,True,4,37
0,16,True,4,37
1,16,True,4,37
2,16,False,4,37
3,16,False,4,37
4,16,False,4,37
6,16,True,4,37
5,16,True,4,37
0,17,True,4,37
1,17,True,4,37
2,17,False,4,37
3,17,False,4,37
4,17,False,4,37
6,17,True,4,37
5,17,True,4,37
