0,face,0,253,121,467,423,0
0,face,1,869,127,1044,382,0
1,face,0,254,127,469,426,0
1,face,1,869,127,1044,381,0
2,face,0,254,127,469,426,0
2,face,1,869,127,1044,381,0
3,face,0,253,134,469,430,0
3,face,1,869,127,1044,381,0
4,face,0,252,140,468,432,0
4,face,1,869,127,1044,380,0
5,face,0,252,141,467,431,0
5,face,1,869,127,1044,379,0
6,face,0,252,136,467,426,0
6,face,1,868,128,1044,378,0
7,face,0,253,130,469,416,0
7,face,1,868,128,1044,378,0
8,face,0,255,124,469,411,0
8,face,1,868,128,1044,377,0
9,face,0,255,122,470,413,0
9,face,1,868,128,1044,377,0
10,face,0,255,128,469,415,0
10,face,1,867,128,1044,376,0
11,face,0,255,133,468,416,0
11,face,1,867,128,1044,376,0
12,face,0,256,133,468,415,0
12,face,1,867,128,1043,376,0
13,face,0,257,130,469,413,0
13,face,1,867,129,1043,375,0
14,face,0,257,130,469,413,0
14,face,1,867,129,1043,375,0
15,face,0,259,125,472,408,0
15,face,1,867,129,1043,375,0
16,face,0,259,121,473,403,0
16,face,1,867,129,1043,375,0
17,face,0,259,118,473,401,0
17,face,1,867,129,1043,375,0
18,face,0,258,117,472,401,0
18,face,1,867,129,1043,375,0
19,face,0,258,118,471,401,0
19,face,1,867,129,1043,375,0
20,face,0,258,118,471,401,0
20,face,1,867,129,1043,375,0
21,face,0,257,120,470,404,0
21,face,1,867,129,1043,375,0
22,face,0,257,122,471,403,0
22,face,1,867,129,1044,375,0
23,face,0,257,124,471,403,0
23,face,1,867,129,1043,375,0
24,face,0,257,124,471,404,0
24,face,1,867,129,1043,375,0
25,face,0,257,125,471,405,0
25,face,1,867,130,1043,375,0
26,face,0,257,123,471,406,0
26,face,1,867,130,1043,376,0
27,face,0,257,119,471,404,0
27,face,1,867,130,1043,376,0
28,face,0,257,118,470,400,0
28,face,1,867,130,1043,376,0
29,face,0,257,116,470,398,0
29,face,1,867,130,1043,376,0
30,face,0,257,115,470,397,0
30,face,1,867,130,1043,376,0
31,face,0,257,116,470,400,0
31,face,1,867,130,1042,376,0
32,face,0,257,119,471,403,0
32,face,1,867,130,1042,376,0
33,face,0,257,122,471,405,0
33,face,1,867,129,1041,376,0
34,face,0,256,122,471,405,0
34,face,1,867,129,1041,376,0
35,face,0,255,118,469,402,0
35,face,1,866,129,1040,376,0
36,face,0,255,112,468,400,0
36,face,1,866,129,1040,376,0
37,face,0,255,107,468,398,0
37,face,1,866,129,1039,376,0
38,face,0,255,103,467,393,0
38,face,1,866,129,1039,376,0
39,face,0,255,103,467,393,0
39,face,1,866,129,1039,376,0
40,face,0,254,103,465,391,0
40,face,1,867,129,1039,376,0
41,face,0,253,104,464,394,0
41,face,1,866,130,1038,377,0
42,face,0,253,104,462,394,0
42,face,1,867,129,1038,377,0
43,face,0,253,103,461,388,0
43,face,1,867,130,1037,377,0
44,face,0,252,102,460,384,0
44,face,1,866,129,1036,377,0
45,face,0,252,100,459,379,0
45,face,1,865,130,1035,377,0
46,face,0,250,100,458,381,0
46,face,1,864,131,1033,376,0
47,face,0,248,99,456,387,0
47,face,1,864,131,1033,377,0
48,face,0,245,99,454,387,0
48,face,1,863,130,1031,376,0
49,face,0,243,100,451,386,0
49,face,1,862,130,1030,375,0
50,face,0,241,101,449,387,0
50,face,1,861,130,1028,375,0
51,face,0,239,101,447,389,0
51,face,1,860,130,1027,375,0
52,face,0,238,100,446,396,0
52,face,1,859,130,1026,375,0
53,face,0,238,101,445,399,0
53,face,1,857,130,1025,375,0
54,face,0,237,102,445,397,0
54,face,1,856,129,1024,375,0
