face_id,frame_id,is_speaking
0,0,False
1,0,False
2,0,False
3,0,False
4,0,False
0,1,False
1,1,False
2,1,False
3,1,False
4,1,False
0,2,False
1,2,False
2,2,False
3,2,False
4,2,False
0,3,False
1,3,False
2,3,False
3,3,False
4,3,False
0,4,False
1,4,False
2,4,False
3,4,False
4,4,False
0,5,False
1,5,False
2,5,False
3,5,False
4,5,False
0,6,False
1,6,False
2,6,False
3,6,False
4,6,False
0,7,False
1,7,False
2,7,False
3,7,False
4,7,False
0,8,False
1,8,False
2,8,False
3,8,False
4,8,False
0,9,False
1,9,False
2,9,False
3,9,False
4,9,False
