face_id,frame_id,is_speaking,chunk_id
0,0,True,1
1,0,True,1
2,0,True,1
0,1,True,1
1,1,True,1
2,1,True,1
0,2,True,1
1,2,True,1
2,2,True,1
0,3,True,1
1,3,True,1
2,3,False,1
0,4,True,1
1,4,True,1
2,4,False,1
0,5,True,1
1,5,True,1
2,5,False,1
0,6,True,1
1,6,True,1
2,6,False,1
0,7,True,1
1,7,True,1
2,7,False,1
0,8,True,1
1,8,True,1
2,8,False,1
0,9,True,1
1,9,True,1
2,9,False,1
0,0,True,2
1,0,True,2
2,0,True,2
0,1,True,2
1,1,True,2
2,1,True,2
0,2,True,2
1,2,True,2
2,2,True,2
0,3,True,2
1,3,True,2
2,3,False,2
0,4,True,2
1,4,True,2
2,4,False,2
0,5,True,2
1,5,True,2
2,5,False,2
0,6,True,2
1,6,True,2
2,6,False,2
0,7,True,2
1,7,True,2
2,7,False,2
0,8,True,2
1,8,True,2
2,8,False,2
0,9,True,2
1,9,True,2
2,9,False,2
0,10,True,2
1,10,True,2
2,10,False,2
0,11,True,2
1,11,True,2
2,11,False,2
0,12,True,2
1,12,True,2
2,12,False,2
0,13,True,2
1,13,True,2
2,13,False,2
0,14,True,2
1,14,True,2
2,14,False,2
0,15,True,2
1,15,True,2
2,15,False,2
0,16,True,2
1,16,True,2
2,16,False,2
0,17,True,2
1,17,True,2
2,17,False,2
0,18,True,2
1,18,True,2
2,18,True,2
0,0,True,3
1,0,True,3
2,0,True,3
0,1,True,3
1,1,True,3
2,1,True,3
0,2,True,3
1,2,True,3
2,2,True,3
0,3,True,3
1,3,True,3
2,3,False,3
0,4,True,3
1,4,True,3
2,4,False,3
0,5,True,3
1,5,True,3
2,5,False,3
0,6,True,3
1,6,True,3
2,6,False,3
0,7,True,3
1,7,True,3
2,7,False,3
0,8,True,3
1,8,True,3
2,8,False,3
0,9,True,3
1,9,True,3
2,9,False,3
0,10,True,3
1,10,True,3
2,10,False,3
0,11,True,3
1,11,True,3
2,11,False,3
0,12,True,3
1,12,True,3
2,12,False,3
0,13,True,3
1,13,True,3
2,13,False,3
0,14,True,3
1,14,True,3
2,14,False,3
0,15,True,3
1,15,True,3
2,15,False,3
0,16,True,3
1,16,True,3
2,16,False,3
0,17,True,3
1,17,True,3
2,17,False,3
0,18,True,3
1,18,True,3
2,18,True,3
0,19,True,3
1,19,False,3
2,19,True,3
0,20,True,3
1,20,True,3
2,20,True,3
0,21,True,3
1,21,True,3
2,21,True,3
0,22,True,3
1,22,True,3
2,22,True,3
0,23,True,3
1,23,True,3
2,23,True,3
0,24,True,3
1,24,True,3
2,24,True,3
0,25,True,3
1,25,True,3
2,25,True,3
0,26,True,3
1,26,True,3
2,26,True,3
0,27,True,3
1,27,True,3
2,27,True,3
0,28,True,3
1,28,True,3
2,28,True,3
