chunk_id,speaker_id,is_speaking,frame_id,pos_chunk_id,pos_frame_id,neg_chunk_id,neg_speaker_id,neg_frame_id,video_flag,audio_flag
20,0,1,0,24,4,20,2,17,1,1
20,0,1,1,25,6,20,1,0,1,1
20,0,1,2,25,5,20,2,10,1,1
20,0,1,3,29,8,20,2,3,1,1
20,0,1,4,31,4,20,1,9,1,1
20,0,1,5,31,5,20,1,5,1,1
20,0,1,6,23,3,20,2,2,1,1
20,0,1,7,23,13,20,1,14,1,1
20,0,1,8,26,7,20,1,9,1,1
20,0,1,9,24,1,20,2,3,1,1
20,0,1,10,29,14,20,1,13,1,1
20,0,1,11,23,12,20,1,8,1,1
20,0,1,12,25,12,20,1,2,1,1
20,0,1,13,25,14,20,1,1,1,1
20,0,1,14,22,15,20,1,13,1,1
20,0,1,15,23,12,20,1,2,1,1
20,0,1,16,22,15,20,2,2,1,1
20,0,1,17,25,10,20,1,11,1,1
21,0,1,0,24,10,21,1,7,1,1
21,0,1,1,30,12,21,1,16,1,1
21,0,1,2,24,17,21,2,2,1,1
21,0,1,3,24,8,21,2,0,1,1
21,0,1,4,31,3,21,1,3,1,1
21,0,1,5,22,12,21,2,0,1,1
21,0,1,6,30,0,21,2,1,1,1
21,0,1,7,30,8,21,2,2,1,1
21,0,1,8,23,5,21,1,4,1,1
21,0,1,9,29,10,21,2,10,1,1
21,0,1,10,23,9,21,1,10,1,1
21,0,1,11,30,12,21,1,1,1,1
21,0,1,12,26,0,21,2,2,1,1
21,0,1,13,30,10,21,1,0,1,1
21,0,1,14,30,4,21,1,16,1,1
21,0,1,15,31,9,21,1,6,1,1
21,0,1,16,25,10,21,2,10,1,1
21,0,1,17,31,13,21,1,4,1,1
22,0,1,0,26,3,22,2,15,1,1
22,0,1,1,30,14,22,2,7,1,1
22,0,1,2,26,8,22,1,2,1,1
22,0,1,5,26,2,22,2,10,1,1
22,0,1,6,23,12,22,1,15,1,1
22,0,1,7,20,11,22,2,7,1,1
22,0,1,9,29,6,22,1,16,1,1
22,0,1,10,25,15,22,1,5,1,1
22,0,1,11,24,7,22,1,14,1,1
22,0,1,12,26,12,22,2,4,1,1
22,0,1,13,20,7,22,1,8,1,1
22,0,1,14,20,0,22,1,11,1,1
22,0,1,15,24,3,22,2,15,1,1
22,0,1,16,25,6,22,2,0,1,1
22,0,1,17,31,0,22,2,14,1,1
23,0,1,0,22,1,23,1,16,1,1
23,0,1,1,26,10,23,1,6,1,1
23,0,1,2,25,6,23,2,16,1,1
23,0,1,3,30,12,23,2,13,1,1
23,0,1,4,24,1,23,1,9,1,1
23,0,1,5,31,14,23,1,8,1,1
23,0,1,6,21,0,23,1,16,1,1
23,0,1,7,24,13,23,1,5,1,1
23,0,1,8,26,8,23,2,15,1,1
23,0,1,9,30,12,23,1,4,1,1
23,0,1,10,29,16,23,1,16,1,1
23,0,1,11,30,6,23,1,10,1,1
23,0,1,12,31,8,23,1,9,1,1
23,0,1,13,22,15,23,1,13,1,1
23,0,1,14,24,12,23,1,5,1,1
23,0,1,15,31,1,23,1,5,1,1
23,0,1,16,21,10,23,1,14,1,1
23,0,1,17,26,10,23,1,0,1,1
24,0,1,0,20,4,24,1,17,1,1
24,0,1,1,26,4,24,1,9,1,1
24,0,1,2,31,10,24,2,14,1,1
24,0,1,3,26,14,24,1,17,1,1
24,0,1,4,22,5,24,1,17,1,1
24,0,1,5,26,7,24,2,11,1,1
24,0,1,6,20,9,24,1,4,1,1
24,0,1,7,20,11,24,1,5,1,1
24,0,1,8,29,1,24,1,6,1,1
24,0,1,9,30,8,24,2,2,1,1
24,0,1,10,20,6,24,1,4,1,1
24,0,1,11,20,11,24,1,1,1,1
24,0,1,12,23,17,24,1,6,1,1
24,0,1,13,21,2,24,1,11,1,1
