face_id,frame_id,is_speaking,video_id,chunk_id
0,0,True,4,33
1,0,True,4,33
2,0,True,4,33
3,0,False,4,33
4,0,False,4,33
6,0,False,4,33
5,0,False,4,33
0,1,True,4,33
1,1,True,4,33
2,1,True,4,33
3,1,False,4,33
4,1,False,4,33
6,1,False,4,33
5,1,False,4,33
0,2,True,4,33
1,2,True,4,33
2,2,True,4,33
3,2,False,4,33
4,2,False,4,33
6,2,False,4,33
5,2,False,4,33
0,3,True,4,33
1,3,True,4,33
2,3,False,4,33
3,3,False,4,33
4,3,False,4,33
6,3,False,4,33
5,3,False,4,33
0,4,True,4,33
1,4,True,4,33
2,4,False,4,33
3,4,False,4,33
4,4,False,4,33
6,4,False,4,33
5,4,False,4,33
0,5,True,4,33
1,5,True,4,33
2,5,False,4,33
3,5,False,4,33
4,5,False,4,33
6,5,False,4,33
5,5,False,4,33
0,6,True,4,33
1,6,True,4,33
2,6,False,4,33
3,6,False,4,33
4,6,False,4,33
6,6,False,4,33
5,6,False,4,33
0,7,True,4,33
1,7,True,4,33
2,7,False,4,33
3,7,False,4,33
4,7,False,4,33
6,7,False,4,33
5,7,False,4,33
0,8,True,4,33
1,8,True,4,33
2,8,False,4,33
3,8,False,4,33
4,8,False,4,33
6,8,False,4,33
5,8,False,4,33
0,9,True,4,33
1,9,True,4,33
2,9,False,4,33
3,9,False,4,33
4,9,False,4,33
6,9,False,4,33
5,9,False,4,33
0,10,True,4,33
1,10,True,4,33
2,10,False,4,33
3,10,False,4,33
4,10,False,4,33
6,10,True,4,33
5,10,False,4,33
0,11,True,4,33
1,11,True,4,33
2,11,False,4,33
3,11,False,4,33
4,11,False,4,33
6,11,True,4,33
5,11,False,4,33
0,12,True,4,33
1,12,True,4,33
2,12,False,4,33
3,12,False,4,33
4,12,False,4,33
6,12,True,4,33
5,12,False,4,33
0,13,True,4,33
1,13,True,4,33
2,13,False,4,33
3,13,False,4,33
4,13,False,4,33
6,13,False,4,33
5,13,False,4,33
0,14,True,4,33
1,14,True,4,33
2,14,False,4,33
3,14,False,4,33
4,14,False,4,33
6,14,False,4,33
5,14,False,4,33
0,15,True,4,33
1,15,True,4,33
2,15,False,4,33
3,15,False,4,33
4,15,False,4,33
6,15,False,4,33
5,15,False,4,33
0,0,True,4,34
1,0,True,4,34
2,0,False,4,34
3,0,False,4,34
4,0,False,4,34
6,0,False,4,34
5,0,False,4,34
0,1,True,4,34
1,1,True,4,34
2,1,False,4,34
3,1,False,4,34
4,1,False,4,34
6,1,True,4,34
5,1,False,4,34
0,2,True,4,34
1,2,True,4,34
2,2,True,4,34
3,2,False,4,34
4,2,False,4,34
6,2,True,4,34
5,2,False,4,34
0,3,True,4,34
1,3,False,4,34
2,3,True,4,34
3,3,False,4,34
4,3,False,4,34
6,3,True,4,34
5,3,False,4,34
0,4,True,4,34
1,4,True,4,34
2,4,True,4,34
3,4,False,4,34
4,4,False,4,34
6,4,False,4,34
5,4,False,4,34
0,5,True,4,34
1,5,True,4,34
2,5,True,4,34
3,5,False,4,34
4,5,False,4,34
6,5,False,4,34
5,5,False,4,34
0,6,True,4,34
1,6,True,4,34
2,6,True,4,34
3,6,False,4,34
4,6,False,4,34
6,6,False,4,34
5,6,False,4,34
0,7,True,4,34
1,7,True,4,34
2,7,True,4,34
3,7,False,4,34
4,7,False,4,34
6,7,False,4,34
5,7,False,4,34
0,8,True,4,34
1,8,True,4,34
2,8,True,4,34
3,8,False,4,34
4,8,False,4,34
6,8,False,4,34
5,8,False,4,34
0,9,True,4,34
1,9,True,4,34
2,9,True,4,34
3,9,False,4,34
4,9,False,4,34
6,9,False,4,34
5,9,False,4,34
0,10,True,4,34
1,10,True,4,34
2,10,True,4,34
3,10,False,4,34
4,10,False,4,34
6,10,False,4,34
5,10,False,4,34
0,11,True,4,34
1,11,True,4,34
2,11,True,4,34
3,11,False,4,34
4,11,False,4,34
6,11,False,4,34
5,11,False,4,34
0,12,True,4,34
1,12,True,4,34
2,12,True,4,34
3,12,False,4,34
4,12,False,4,34
6,12,False,4,34
5,12,False,4,34
0,13,True,4,34
1,13,True,4,34
2,13,True,4,34
3,13,False,4,34
4,13,False,4,34
6,13,False,4,34
5,13,False,4,34
0,14,True,4,34
1,14,True,4,34
2,14,True,4,34
3,14,False,4,34
4,14,False,4,34
6,14,False,4,34
5,14,False,4,34
0,15,True,4,34
1,15,True,4,34
2,15,True,4,34
3,15,False,4,34
4,15,False,4,34
6,15,False,4,34
5,15,False,4,34
0,0,True,4,35
1,0,True,4,35
2,0,True,4,35
3,0,False,4,35
4,0,False,4,35
6,0,False,4,35
5,0,False,4,35
0,1,True,4,35
1,1,True,4,35
2,1,True,4,35
3,1,False,4,35
4,1,False,4,35
6,1,False,4,35
5,1,False,4,35
0,2,True,4,35
1,2,True,4,35
2,2,True,4,35
3,2,False,4,35
4,2,False,4,35
6,2,False,4,35
5,2,False,4,35
0,3,False,4,35
1,3,True,4,35
2,3,True,4,35
3,3,False,4,35
4,3,False,4,35
6,3,False,4,35
5,3,False,4,35
0,4,True,4,35
1,4,True,4,35
2,4,True,4,35
3,4,False,4,35
4,4,False,4,35
6,4,False,4,35
5,4,False,4,35
0,5,True,4,35
1,5,True,4,35
2,5,True,4,35
3,5,False,4,35
4,5,False,4,35
6,5,False,4,35
5,5,False,4,35
0,6,True,4,35
1,6,True,4,35
2,6,True,4,35
3,6,False,4,35
4,6,False,4,35
6,6,False,4,35
5,6,False,4,35
0,7,False,4,35
1,7,True,4,35
2,7,True,4,35
3,7,False,4,35
4,7,False,4,35
6,7,False,4,35
5,7,False,4,35
0,8,True,4,35
1,8,True,4,35
2,8,True,4,35
3,8,False,4,35
4,8,False,4,35
6,8,False,4,35
5,8,False,4,35
0,9,True,4,35
1,9,True,4,35
2,9,True,4,35
3,9,False,4,35
4,9,False,4,35
6,9,False,4,35
5,9,False,4,35
0,10,True,4,35
1,10,True,4,35
2,10,True,4,35
3,10,False,4,35
4,10,False,4,35
6,10,False,4,35
5,10,False,4,35
0,11,True,4,35
1,11,True,4,35
2,11,True,4,35
3,11,False,4,35
4,11,False,4,35
6,11,False,4,35
5,11,False,4,35
0,12,True,4,35
1,12,True,4,35
2,12,True,4,35
3,12,False,4,35
4,12,False,4,35
6,12,False,4,35
5,12,False,4,35
0,13,True,4,35
1,13,True,4,35
2,13,False,4,35
3,13,False,4,35
4,13,False,4,35
6,13,False,4,35
5,13,False,4,35
0,14,True,4,35
1,14,True,4,35
2,14,True,4,35
3,14,False,4,35
4,14,False,4,35
6,14,False,4,35
5,14,False,4,35
0,15,True,4,35
1,15,True,4,35
2,15,True,4,35
3,15,False,4,35
4,15,False,4,35
6,15,False,4,35
5,15,False,4,35
0,0,True,4,36
1,0,True,4,36
2,0,True,4,36
3,0,False,4,36
4,0,False,4,36
6,0,False,4,36
5,0,False,4,36
0,1,True,4,36
1,1,True,4,36
2,1,False,4,36
3,1,False,4,36
4,1,False,4,36
6,1,False,4,36
5,1,False,4,36
0,2,True,4,36
1,2,True,4,36
2,2,False,4,36
3,2,False,4,36
4,2,False,4,36
6,2,False,4,36
5,2,False,4,36
0,3,True,4,36
1,3,True,4,36
2,3,False,4,36
3,3,False,4,36
4,3,False,4,36
6,3,False,4,36
5,3,False,4,36
0,4,True,4,36
1,4,True,4,36
2,4,False,4,36
3,4,False,4,36
4,4,False,4,36
6,4,False,4,36
5,4,False,4,36
0,5,True,4,36
1,5,True,4,36
2,5,False,4,36
3,5,False,4,36
4,5,False,4,36
6,5,False,4,36
5,5,False,4,36
0,6,True,4,36
1,6,True,4,36
2,6,False,4,36
3,6,False,4,36
4,6,False,4,36
6,6,False,4,36
5,6,False,4,36
0,7,True,4,36
1,7,True,4,36
2,7,False,4,36
3,7,False,4,36
4,7,False,4,36
6,7,False,4,36
5,7,False,4,36
0,8,True,4,36
1,8,True,4,36
2,8,False,4,36
3,8,False,4,36
4,8,False,4,36
6,8,False,4,36
5,8,False,4,36
0,9,True,4,36
