chunk_id,speaker_id,is_speaking,frame_id,pos_chunk_id,pos_frame_id,neg_chunk_id,neg_speaker_id,neg_frame_id,video_flag,audio_flag
33,0,1,0,36,11,33,5,2,1,1
33,0,1,1,37,1,33,2,7,1,1
33,0,1,2,35,1,33,1,3,1,1
33,0,1,3,35,7,33,2,15,1,1
33,0,1,4,37,7,33,1,4,1,1
33,0,1,5,35,6,33,1,16,1,1
33,0,1,6,36,6,33,6,7,1,1
33,0,1,7,37,2,33,1,11,1,1
33,0,1,8,37,6,33,1,8,1,1
33,0,1,9,35,12,33,2,8,1,1
33,0,1,10,37,6,33,3,4,1,1
33,0,1,11,36,4,33,1,10,1,1
33,0,1,12,36,2,33,2,1,1,1
33,0,1,13,35,10,33,1,14,1,1
33,0,1,14,35,5,33,3,6,1,1
33,0,1,15,36,14,33,2,8,1,1
33,0,1,16,34,11,33,1,2,1,1
33,0,1,17,36,5,33,4,4,1,1
34,0,1,0,37,3,34,6,14,1,1
34,0,1,1,36,5,34,3,4,1,1
34,0,1,2,33,8,34,6,8,1,1
34,0,1,3,35,16,34,5,3,1,1
34,0,1,4,36,6,34,5,16,1,1
34,0,1,5,37,8,34,6,3,1,1
34,0,1,6,38,5,34,2,4,1,1
34,0,1,7,36,15,34,1,3,1,1
34,0,1,8,36,7,34,2,12,1,1
34,0,1,9,37,15,34,1,6,1,1
34,0,1,10,33,17,34,3,1,1,1
34,0,1,11,35,16,34,1,10,1,1
34,0,1,12,36,12,34,1,2,1,1
34,0,1,13,33,14,34,1,9,1,1
34,0,1,14,33,1,34,2,4,1,1
34,0,1,15,37,6,34,1,16,1,1
34,0,1,16,36,0,34,2,1,1,1
34,0,1,17,33,12,34,5,7,1,1
35,0,1,0,34,14,35,1,4,1,1
35,0,1,1,34,1,35,2,11,1,1
35,0,1,2,34,17,35,2,9,1,1
35,0,1,5,33,8,35,2,1,1,1
35,0,1,6,38,0,35,1,2,1,1
35,0,1,7,33,17,35,1,12,1,1
35,0,1,9,34,2,35,2,1,1,1
35,0,1,10,36,1,35,3,17,1,1
35,0,1,11,38,0,35,4,3,1,1
35,0,1,12,34,14,35,5,13,1,1
35,0,1,13,33,5,35,2,4,1,1
35,0,1,14,37,9,35,1,7,1,1
35,0,1,15,33,12,35,3,17,1,1
35,0,1,16,36,17,35,2,15,1,1
35,0,1,17,38,1,35,2,14,1,1
36,0,1,0,34,3,36,5,4,1,1
36,0,1,1,37,2,36,6,10,1,1
36,0,1,2,37,5,36,4,14,1,1
36,0,1,3,35,10,36,6,12,1,1
36,0,1,4,38,4,36,1,8,1,1
36,0,1,5,34,7,36,5,13,1,1
36,0,1,6,33,14,36,1,0,1,1
36,0,1,7,33,6,36,1,6,1,1
36,0,1,8,35,7,36,1,10,1,1
36,0,1,9,35,5,36,5,8,1,1
36,0,1,10,38,4,36,6,16,1,1
36,0,1,11,35,7,36,2,0,1,1
36,0,1,12,33,15,36,2,12,1,1
36,0,1,13,34,1,36,6,11,1,1
36,0,1,14,34,6,36,3,5,1,1
36,0,1,15,38,1,36,1,3,1,1
36,0,1,16,33,8,36,2,3,1,1
36,0,1,17,33,15,36,6,10,1,1
37,0,1,0,33,5,37,6,7,1,1
37,0,1,1,34,9,37,1,16,1,1
37,0,1,2,36,9,37,1,17,1,1
37,0,1,3,38,1,37,4,15,1,1
37,0,1,4,33,15,37,5,11,1,1
37,0,1,5,33,9,37,6,6,1,1
37,0,1,6,36,8,37,4,3,1,1
37,0,1,7,35,16,37,6,5,1,1
37,0,1,8,35,13,37,1,12,1,1
37,0,1,9,35,2,37,3,13,1,1
37,0,1,10,36,15,37,3,14,1,1
37,0,1,11,36,8,37,5,17,1,1
37,0,1,12,35,10,37,1,11,1,1
37,0,1,13,36,10,37,6,7,1,1
37,0,1,14,36,2,37,1,3,1,1
37,0,1,15,35,6,37,6,8,1,1
37,0,1,16,36,17,37,6,3,1,1
37,0,1,17,34,7,37,6,9,1,1
38,0,1,0,34,15,38,4,6,1,1
38,0,1,1,36,14,38,1,0,1,1
38,0,1,4,36,4,38,6,2,1,1
38,0,1,5,37,12,38,5,3,1,1
38,0,1,6,35,16,38,1,6,1,1
38,0,1,7,35,12,38,1,2,1,1
38,0,1,8,35,16,38,1,2,1,1
35,0,0,3,37,8,35,2,15,1,0
35,0,0,4,38,1,35,5,11,1,0
35,0,0,8,37,11,35,3,7,1,0
38,0,0,2,33,13,38,4,0,1,0
38,0,0,3,33,11,38,1,1,1,0
33,1,1,0,36,5,33,0,16,1,1
33,1,1,1,34,8,33,2,3,1,1
33,1,1,2,34,5,33,6,14,1,1
33,1,1,3,35,4,33,0,13,1,1
33,1,1,4,37,0,33,0,11,1,1
33,1,1,5,37,13,33,4,4,1,1
33,1,1,6,36,2,33,5,0,1,1
33,1,1,7,35,10,33,0,3,1,1
33,1,1,8,36,4,33,0,9,1,1
33,1,1,9,35,8,33,2,0,1,1
33,1,1,10,37,13,33,6,17,1,1
33,1,1,11,34,15,33,5,12,1,1
33,1,1,12,36,0,33,6,15,1,1
33,1,1,13,36,5,33,0,17,1,1
33,1,1,14,36,3,33,0,13,1,1
33,1,1,15,37,8,33,5,0,1,1
33,1,1,16,38,3,33,2,5,1,1
33,1,1,17,37,11,33,0,17,1,1
34,1,1,0,36,14,34,2,12,1,1
34,1,1,1,33,11,34,4,6,1,1
34,1,1,2,37,16,34,2,9,1,1
34,1,1,3,35,17,34,5,13,1,1
34,1,1,5,35,11,34,2,12,1,1
34,1,1,6,38,7,34,6,10,1,1
34,1,1,7,36,10,34,2,15,1,1
34,1,1,8,36,0,34,3,0,1,1
34,1,1,9,38,2,34,6,3,1,1
34,1,1,10,36,5,34,2,5,1,1
34,1,1,11,33,17,34,0,0,1,1
34,1,1,12,37,2,34,0,17,1,1
34,1,1,13,33,15,34,2,9,1,1
34,1,1,14,37,12,34,2,7,1,1
34,1,1,15,36,17,34,0,0,1,1
34,1,1,16,37,6,34,6,4,1,1
34,1,1,17,33,12,34,2,5,1,1
35,1,1,0,36,0,35,0,13,1,1
35,1,1,1,36,1,35,0,16,1,1
35,1,1,2,38,5,35,0,14,1,1
35,1,1,3,33,0,35,2,14,1,1
35,1,1,4,34,12,35,2,6,1,1
35,1,1,5,38,8,35,0,12,1,1
35,1,1,6,34,8,35,0,15,1,1
35,1,1,7,38,7,35,3,17,1,1
35,1,1,8,38,0,35,3,0,1,1
35,1,1,9,38,8,35,2,5,1,1
35,1,1,10,33,8,35,2,1,1,1
35,1,1,11,36,3,35,0,5,1,1
35,1,1,12,34,15,35,4,14,1,1
35,1,1,13,37,12,35,5,17,1,1
35,1,1,14,34,13,35,2,13,1,1
35,1,1,15,38,7,35,2,7,1,1
35,1,1,16,33,7,35,2,7,1,1
35,1,1,17,34,17,35,5,6,1,1
36,1,1,0,37,10,36,0,17,1,1
36,1,1,1,37,11,36,0,1,1,1
36,1,1,2,33,7,36,6,16,1,1
36,1,1,3,34,14,36,0,1,1,1
36,1,1,4,35,17,36,0,13,1,1
36,1,1,5,37,9,36,4,17,1,1
36,1,1,6,33,17,36,0,15,1,1
36,1,1,7,35,11,36,0,15,1,1
36,1,1,8,35,17,36,0,2,1,1
